type,name,notice,furigana
Oversized Trash,スーツケース（柄等に金属を使用）（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Ordinary Trash,スーツケース（金属の使用なし）（最長辺が50cm未満）,最長辺が50cm以上ならOversized Trash,す
Oversized Trash,スーツケース（金属の使用なし）（最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,す
Ordinary Trash,スキー靴、スケート靴（金属を含まない）（最長辺が50cm未満）,最長辺が50cm以上ならOversized Trash,す
Oversized Trash,スキー靴、スケート靴（金属を含まない）（最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,す
Small Metal Articles,スキー靴、スケート靴（金属を含む）（最長辺が30cm未満),最長辺が30cm以上ならOversized Trash,す
Oversized Trash,スキー靴、スケート靴（金属を含む）（最長辺が30cm以上),最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,スチームアイロン（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,スチームアイロン（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,ステレオ（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,ステレオ（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,ステンレス魔法瓶（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,ステンレス魔法瓶（最長辺が30cm以上）,最長辺が30cm未満ならOrdinary Trash,す
Ordinary Trash,ストロー,,す
Ordinary Trash,スノーボードの靴（金属を含まない）（最長辺が50cm未満）,最長辺が50cm以上ならOversized Trash,す
Oversized Trash,スノーボードの靴（金属を含まない）（最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,す
Small Metal Articles,スノーボードの靴（金属を含む）（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,スノーボードの靴（金属を含む）（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Small Metal Articles,スピーカー（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,す
Oversized Trash,スピーカー（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,す
Ordinary Trash,スプーン（プラスチック製）,,す
Small Metal Articles,スプーン（金属製）,,す
Empty Cans・PET Bottles,スプレー缶,使いきって、中身を空にしてから出す,す
Plastic Containers and Packaging,スプレー缶のキャップ,,す
Ordinary Trash,生理用品,,せ
Plastic Containers and Packaging,生理用品の外袋,,せ
Ordinary Trash,洗剤の容器（紙製）,,せ
Plastic Containers and Packaging,洗剤の容器（プラスチック製）,プラ容器は中身を使い切って、軽く洗ってから出す,せ
Small Metal Articles,喘息用吸入器（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,せ
Oversized Trash,喘息用吸入器（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,せ
Small Metal Articles,扇風機（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,せ
Oversized Trash,扇風機（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,せ
Ordinary Trash,洗濯機の「お湯取りホース」,プラスチック製のものは、50cm未満にまとめてOrdinary Trash,せ
Ordinary Trash,洗面器,,せ
Small Metal Articles,掃除機（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash。ホースなどを含め、一番小さくまとめた状態で測る,そ
Oversized Trash,掃除機（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles。ホースなどを含め、一番小さくまとめた状態で測る,そ
Oversized Trash,ソファ,,そ
Small Metal Articles,体重計（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,た
Oversized Trash,体重計（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,た
Ordinary Trash,ダイビング用の機材、スーツ（金属を含まない）（最長辺が50cm未満）,最長辺が50cm以上ならOversized Trash,た
Oversized Trash,ダイビング用の機材、スーツ（金属を含まない）（最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,た
Small Metal Articles,ダイビング用の機材、スーツ（金属を含む）（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,た
Oversized Trash,ダイビング用の機材、スーツ（金属を含む）（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,た
Ordinary Trash,タオルケット,,た
Ordinary Trash,タッパー類,,た
Mix Paper,卵パック（紙製）,,た
Plastic Containers and Packaging,卵パック（プラスチック製）,,た
Ordinary Trash,チャイルドシート,金属を含まない：最長辺が50cm未満ならOrdinary Trash、50cm以上ならOversized Trash,ち
Small Metal Articles,チャイルドシート,,ち
Oversized Trash,チャイルドシート,金属を含む：最長辺が30cm未満ならSmall Metal Articles、30cm以上ならOversized Trash,ち
Ordinary Trash,茶碗,厚紙に包んで「キケン」と表示,ち
Plastic Containers and Packaging,チューブ類（マヨネーズ等）,使い切ってから出してください,ち
Mix Paper,チラシ（新聞紙の折り込みチラシ以外）,,ち
Oversized Trash,漬物石（直径が30cm未満）,直径が30cm未満のもので、1回につき5個まで。30cm以上のものは販売店にご相談ください。,つ
Ordinary Trash,土,大量の場合、浮島埋立処分場に直接持込み。生活環境事業所にお問い合わせください。,つ
Ordinary Trash,つっぱり棒、つっぱり棚,最長辺が50cm以上ならOversized Trash,つ
Oversized Trash,つっぱり棒、つっぱり棚,最長辺が50cm未満ならOrdinary Trash,つ
Small Metal Articles,つっぱり棒、つっぱり棚,最長辺が30cm以上ならOversized Trash,つ
Oversized Trash,つっぱり棒、つっぱり棚,最長辺が30cm未満ならSmall Metal Articles,つ
Mix Paper,ティッシュペーパーの箱,,て
Small Metal Articles,テレビアンテナ,業者が交換した場合、Wastes not collected by the City。,て
Oversized Trash,テレビアンテナ,,て
Small Metal Articles,テレビチューナー（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,て
Oversized Trash,テレビチューナー（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,て
Ordinary Trash,DVD（ディスク),,て
Small Metal Articles,DVDプレーヤー（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,て
Oversized Trash,DVDプレーヤー（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,て
Small Metal Articles,電気シェーバー,,て
Small Metal Articles,電気スタンド,電球を取りはずす（電球はOrdinary Trashへ）,て
Small Metal Articles,電器ポット（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,て
Oversized Trash,電器ポット（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,て
Oversized Trash,電気毛布,たたんだ最長辺が30cm未満ならSmall Metal Articles,て
Ordinary Trash,電球,厚紙に包み「電球キケン」などと表示する,て
Small Metal Articles,電子辞書,,て
Oversized Trash,電子ピアノ,,て
Small Metal Articles,電子レンジ（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,て
Oversized Trash,電子レンジ（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,て
Small Metal Articles,電卓,,て
Small Metal Articles,電話（ファクシミリを含む）,最長辺が30cm以上ならOversized Trash,て
Oversized Trash,電話（ファクシミリを含む、最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,て
Mix Paper,トイレットペーパーの芯,,と
Ordinary Trash,陶器類,厚紙に包んで「キケン」と表示,と
Ordinary Trash,陶製のびん,厚紙に包んで「キケン」と表示,と
Small Metal Articles,時計（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,と
Oversized Trash,時計（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,と
Small Metal Articles,トースター（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,と
Oversized Trash,トースター（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,と
Small Metal Articles,ドライヤー（最長辺が30cm未満）,最長辺が30cm以上ならOversized Trash,と
Oversized Trash,ドライヤー（最長辺が30cm以上）,最長辺が30cm未満ならSmall Metal Articles,と
Small Metal Articles,鳥かご（金属製）,,と
Plastic Containers and Packaging,トレイ（プラマークのあるもの）,店頭回収を行っているお店もあります,と
Ordinary Trash,トレイ（プラマークのないもの）,最長辺が50cm以上ならOversized Trash,と
Oversized Trash,トレイ（プラマークのないもの、最長辺が50cm以上）,最長辺が50cm未満ならOrdinary Trash,と
Ordinary Trash,長靴（安全靴）,金属部分は切り出し不要,な
Mix Paper,投げ込みチラシ,,な
Small Metal Articles,鍋（金属・ホーロー製）（30cm未満）,柄・取っ手を除き、最長辺が30cm未満,な
Oversized Trash,鍋（金属・ホーロー製）（30cm以上）,柄・取っ手を除き、最長辺が30cm以上,な
Ordinary Trash,鍋（陶器・ガラス製）,厚紙に包み「陶器キケン」などと表示する,な
Ordinary Trash,生ごみ,十分に水切りをする,な
Ordinary Trash,人形（ぬいぐるみを含む）（50cm未満）,最長辺が50cm未満,に
Oversized Trash,人形（ぬいぐるみを含む）（50cm以上）,最長辺が50cm以上,に
Ordinary Trash,人形ケース（50cm未満）,最長辺が50cm未満,に
Oversized Trash,人形ケース（50cm以上）,最長辺が50cm以上,に
Plastic Containers and Packaging,ネット（果物などを包む）,,ね
Ordinary Trash,ネット（水切り用）,,ね
Ordinary Trash,粘土,,ね
Mix Paper,ノート,,の
Wastes not collected by the City,農薬,購入店に相談,の
Small Metal Articles,灰皿（金属製）,,は
Mix Paper,はがき,,は
Small Metal Articles,はがき等作成機器（プリントゴッコなど）（30cm未満）,最長辺が30cm未満,は
Oversized Trash,はがき等作成機器（プリントゴッコなど）（30cm以上）,最長辺が30cm以上,は
Ordinary Trash,バケツ（50cm未満）,最長辺が50cm未満,は
Oversized Trash,バケツ（50cm以上）,最長辺が50cm以上,は
Oversized Trash,バスタブ,業者が交換した場合、Wastes not collected by the City。,は
Ordinary Trash,はくせい（50cm未満）,最長辺が50cm未満,は
Oversized Trash,はくせい（50cm以上）,最長辺が50cm以上,は
Wastes not collected by the City,パソコン本体,メーカーで回収　市で収集しないもの「パソコン」参照,は
Wastes not collected by the City,パソコンのモニター,メーカーで回収　市で収集しないもの「パソコン」参照,は
Small Metal Articles,パソコン周辺機器（アダプタ・ケーブル・マウス・キーボード・マザーボード・ハードディスクなどパソコン本体・モニターではない部分）（30cm未満）,最長辺が30cm未満　ケーブルは束ねて出す,は
Oversized Trash,パソコン周辺機器（アダプタ・ケーブル・マウス・キーボード・マザーボード・ハードディスクなどパソコン本体・モニターではない部分）（30cm以上）,最長辺が30cm以上　ケーブルは束ねて出す,は
Small Metal Articles,パソコンのケース（30cm未満）,最長辺が30cm未満,は
Oversized Trash,パソコンのケース（30cm以上）,最長辺が30cm以上,は
Wastes not collected by the City,バッテリー,購入店に相談,は
Ordinary Trash,歯ブラシ,,は
Ordinary Trash,発泡スチロールの容器（製品として購入したもの）（50cm未満）,最長辺が50cm未満,は
Oversized Trash,発泡スチロールの容器（製品として購入したもの）（50cm以上）,最長辺が50cm以上,は
Plastic Containers and Packaging,発泡スチロールの容器（商品が入っていた容器）（50cm未満）,最長辺が50cm未満,は
Oversized Trash,発泡スチロールの容器（商品が入っていた容器）（50cm以上）,最長辺が50cm以上,は
Plastic Containers and Packaging,発泡スチロールの緩衝材（50cm未満）,最長辺が50cm未満,は
Oversized Trash,発泡スチロールの緩衝材（50cm以上）,最長辺が50cm以上,は
Ordinary Trash,花火,水でぬらしてから出す（多量なら購入店に相談）,は
Small Metal Articles,刃物（はさみを含む）（30cm未満）,厚紙で包み「刃物キケン」と表示　最長辺が30cm未満,は
Oversized Trash,刃物（はさみを含む）（30cm以上）,厚紙で包み「刃物キケン」と表示　最長辺が30cm以上,は
Small Metal Articles,針金ハンガー,,は
Mix Paper,パンフレット,,は
Plastic Containers and Packaging,発泡スチロール,,は
Ordinary Trash,PPバンド,,ぴ
Empty Bottles,ビールびん,できるだけ購入店か資源集団回収へ,ひ
Wastes not collected by the City,ピアノ,購入店に相談（電子ピアノはOversized Trash）,ひ
Small Metal Articles,ビデオカメラ（30cm未満）,最長辺が30cm未満,ひ
Oversized Trash,ビデオカメラ（30cm以上）,最長辺が30cm以上,ひ
Ordinary Trash,ビデオテープ,,ひ
Small Metal Articles,美容器具（30cm未満）,最長片が30cm未満,ひ
Oversized Trash,美容器具（30cm以上）,最長片が30cm以上,ひ
Small Metal Articles,ファックス複合機（30cm未満）,最長辺が30cm未満,ふ
Oversized Trash,ファックス複合機（30cm以上）,最長辺が30cm以上,ふ
Oversized Trash,ファンヒーター,,ふ
Oversized Trash,フィットネスバイク（室内用）,,ふ
Small Metal Articles,フードプロセッサ（30cm未満）,最長辺が30cm未満,ふ
Oversized Trash,フードプロセッサ（30cm以上）,最長辺が30cm以上,ふ
Ordinary Trash,フォーク（プラスチック製）,,ふ
Empty Cans・PET Bottles,ふた・キャップ（金属製）,,ふ
Plastic Containers and Packaging,ふた・キャップ（プラスチック製）,,ふ
Oversized Trash,布団,5枚まで1組。ひもで縛る,ふ
Oversized Trash,フローリングカーペット（2m以下）,2m以下のもの,ふ
Wastes not collected by the City,フローリングカーペット（2mを超えるもの）,2mを超えるものは収集できません。購入店等に処分方法をご相談ください。,ふ
Oversized Trash,風呂のふた,丸めたりできる場合は丸めて、ひもで縛る,ふ
Ordinary Trash,プラスチック製の品物（50cm未満）,最長辺が50cm未満,ふ
Oversized Trash,プラスチック製の品物（50cm以上）,最長辺が50cm以上,ふ
Small Metal Articles,プリンター（30cm未満）,最長辺が30cm未満,ふ
Oversized Trash,プリンター（30cm以上）,最長辺が30cm以上,ふ
Small Metal Articles,フライパン（30cm未満）,柄・取っ手を除き、最長辺が30cm未満,ふ
Oversized Trash,フライパン（30cm以上）,柄・取っ手を除き、最長辺が30cm以上,ふ
Ordinary Trash,プリンターのインクカートリッジ,回収している販売店もあります,ふ
Oversized Trash,プロジェクションテレビ（家電リサイクル対象外のもの）,あらかじめメーカーで「家電リサイクル対象外」の確認をし、Oversized Trash受付センターへ申し込んでください。出すときは「家電リサイクル対象外　メーカーに確認済」と張り紙をしてください。,ふ
Wastes not collected by the City,ブロック（ブロック塀・コンクリート）,購入店に相談,ふ
Ordinary Trash,フロッピーディスク,,ふ
Ordinary Trash,ペットの糞やトイレシート,新聞紙等にくるみ、ビニール袋に入れ、におい等がもれないよう固く縛って出してください。,へ
Small Metal Articles,ヘッドホン,,へ
Empty Cans・PET Bottles,PET Bottles（飲料、酒、みりん類、しょうゆ、酢など）,,へ
Ordinary Trash,PET Bottles（ソースや食用油）,,へ
Plastic Containers and Packaging,PET Bottlesのキャップ・ラベル,,へ
Oversized Trash,ベッド,,へ
Ordinary Trash,ヘルメット,,へ
Small Metal Articles,ペンチ,,ぺ
Ordinary Trash,弁当箱（プラスチック製）,,へ
Small Metal Articles,弁当箱（アルミ製）,,へ
Plastic Containers and Packaging,弁当箱（コンビニエンスストア等）,プラ容器は中身を使い切って、軽く洗ってから出す,へ
Mix Paper,包装紙,,ほ
Oversized Trash,ボウリングの球（30cm未満）（1回につき5個まで）,Oversized Trash受付センターへ申込み（無料）直径が30cm未満のもので、1回につき5個まで。30cm以上のものは販売店にご相談ください。,ほ
Small Metal Articles,ボウル,,ぼ
Small Metal Articles,ポット（30cm未満）,最長辺が30cm未満,ほ
Oversized Trash,ポット（30cm以上）,最長辺が30cm以上,ほ
Small Metal Articles,ホットカーラー,,ほ
Ordinary Trash,哺乳瓶,厚紙に包み「ワレモノキケン」などと表示する,ほ
Ordinary Trash,ポリタンク（50cm未満）,中を空にして出す　最長辺が50cm未満。,ほ
Oversized Trash,ポリタンク（50cm以上）,中を空にして出す　最長辺が50cm以上,ほ
Ordinary Trash,ポリバケツ（50cm未満）,最長辺が50cm未満,ほ
Oversized Trash,ポリバケツ（50cm以上）,最長辺が50cm以上,ほ
Ordinary Trash,保冷剤,,ほ
資源集団回収またはOrdinary Trash,本（書籍),,ほ
Ordinary Trash,マニキュアの容器（びん）,,ま
Ordinary Trash,マッチ,,ま
Oversized Trash,マットレス（足なし・足つき）,,ま
